change_percent,change_value,first,gregorian_date,last,max,min,solar_date
-0.09%,-150000,"160,690,000",2020/10/15,"160,860,000","160,860,000","160,690,000",1399/07/24
-0.09%,-150000,"161,890,000",2020/10/14,"160,710,000","161,960,000","158,990,000",1399/07/23
0.31%,500000,"159,790,000",2020/10/13,"161,210,000","163,110,000","159,790,000",1399/07/22
-0.88%,-1400000,"154,710,000",2020/10/12,"159,810,000","159,810,000","154,690,000",1399/07/21
-1.4%,-2200000,"152,590,000",2020/10/11,"157,610,000","160,410,000","152,590,000",1399/07/20
-3.28%,-5000000,"147,090,000",2020/10/10,"152,610,000","153,110,000","147,090,000",1399/07/19
-3.74%,-5500000,"145,590,000",2020/10/07,"147,110,000","147,110,000","144,790,000",1399/07/16
-1.03%,-1500000,"142,510,000",2020/10/06,"145,610,000","147,210,000","142,490,000",1399/07/15
-2.19%,-3120000,"141,640,000",2020/10/05,"142,490,000","143,360,000","141,390,000",1399/07/14
-5.58%,-7530000,"142,390,000",2020/10/04,"134,960,000","142,410,000","133,790,000",1399/07/13
5.52%,7450000,"144,010,000",2020/10/03,"142,410,000","144,460,000","141,890,000",1399/07/12
0.49%,700000,"143,290,000",2020/10/01,"143,110,000","143,910,000","142,390,000",1399/07/10
-2.08%,-2920000,"135,810,000",2020/09/30,"140,190,000","140,210,000","135,790,000",1399/07/9
-3.24%,-4400000,"135,010,000",2020/09/29,"135,790,000","135,810,000","133,740,000",1399/07/8
-1.4%,-1880000,"133,110,000",2020/09/28,"133,910,000","133,910,000","133,090,000",1399/07/7
-0.62%,-820000,"132,960,000",2020/09/27,"133,090,000","133,460,000","132,690,000",1399/07/6
-0.48%,-630000,"133,160,000",2020/09/26,"132,460,000","133,560,000","131,790,000",1399/07/5
0.42%,550000,"132,760,000",2020/09/24,"133,010,000","133,210,000","132,040,000",1399/07/3
-0.85%,-1120000,"132,510,000",2020/09/23,"131,890,000","134,000,000","131,440,000",1399/07/2
0.15%,200000,"129,190,000",2020/09/22,"132,090,000","132,260,000","128,790,000",1399/07/1
-1.23%,-1600000,"132,590,000",2020/09/21,"130,490,000","132,810,000","129,490,000",1399/06/31
1.65%,2150000,"129,740,000",2020/09/20,"132,640,000","132,660,000","129,590,000",1399/06/30
-3.9%,-4980000,"127,760,000",2020/09/19,"127,660,000","127,960,000","126,690,000",1399/06/29
0.26%,330000,"128,410,000",2020/09/17,"127,990,000","129,110,000","127,490,000",1399/06/27
0.08%,100000,"131,710,000",2020/09/16,"128,090,000","131,860,000","127,990,000",1399/06/26
-0.16%,-200000,"128,910,000",2020/09/15,"127,890,000","128,960,000","127,390,000",1399/06/25
0.78%,1000000,"127,890,000",2020/09/14,"128,890,000","130,060,000","127,790,000",1399/06/24
-1.66%,-2100000,"123,910,000",2020/09/13,"126,790,000","126,810,000","123,890,000",1399/06/23
-3.37%,-4130000,"119,890,000",2020/09/12,"122,660,000","122,760,000","119,890,000",1399/06/22
-2.29%,-2750000,"118,060,000",2020/09/10,"119,910,000","119,910,000","118,040,000",1399/06/20
-0.76%,-900000,"117,610,000",2020/09/09,"119,010,000","119,910,000","116,690,000",1399/06/19
-1.54%,-1800000,"114,490,000",2020/09/08,"117,210,000","117,210,000","114,390,000",1399/06/18
-2.58%,-2950000,"112,610,000",2020/09/07,"114,260,000","114,610,000","112,440,000",1399/06/17
-1.03%,-1170000,"113,990,000",2020/09/06,"113,090,000","114,410,000","112,790,000",1399/06/16
0.62%,700000,"111,790,000",2020/09/05,"113,790,000","114,110,000","111,590,000",1399/06/15
-2.64%,-2930000,"111,790,000",2020/09/03,"110,860,000","111,810,000","110,290,000",1399/06/13
1.98%,2200000,"107,610,000",2020/09/02,"113,060,000","114,660,000","107,590,000",1399/06/12
0.39%,440000,"107,610,000",2020/09/01,"113,500,000","113,500,000","107,590,000",1399/06/11
-2.25%,-2500000,"107,590,000",2020/08/31,"111,000,000","111,800,000","107,590,000",1399/06/10
-3.15%,-3390000,"107,590,000",2020/08/27,"107,610,000","107,610,000","107,590,000",1399/06/6
,0,"107,810,000",2020/08/26,"107,610,000","108,610,000","107,490,000",1399/06/5
0.77%,830000,"107,760,000",2020/08/25,"108,440,000","108,460,000","107,490,000",1399/06/4
-0.93%,-1000000,"106,210,000",2020/08/24,"107,440,000","107,810,000","105,940,000",1399/06/3
-0.87%,-930000,"107,710,000",2020/08/23,"106,510,000","107,860,000","106,440,000",1399/06/2
-1.4%,-1470000,"107,910,000",2020/08/22,"105,040,000","107,910,000","103,990,000",1399/06/1
